id,time,qty
==========AAVEXBT==========
2614498,1729024996,xxx
2614499,1729025001,xxx
2614500,1729025001,xxx
2614501,1729025002,xxx
2614502,1729025002,xxx
2614503,1729026933,xxx
2614504,1729028589,xxx
2614505,1729028589,xxx
2614506,1729028590,xxx
2614507,1729028590,xxx
2614508,1729028590,xxx
2614509,1729028590,xxx
2614510,1729035308,xxx
2614511,1729039637,xxx
2614512,1729039645,xxx
2614513,1729040368,xxx
2614514,1729040379,xxx
2614515,1729040379,xxx
2614516,1729040379,xxx
2614517,1729040379,xxx
2614518,1729040379,xxx
2614519,1729040944,xxx
2614520,1729044357,xxx
2614521,1729044357,xxx
2614522,1729044357,xxx
2614523,1729044753,xxx
2614524,1729046729,xxx
2614525,1729046842,xxx
2614526,1729046842,xxx
2614527,1729047045,xxx
2614528,1729047045,xxx
2614529,1729049228,xxx
2614530,1729050165,xxx
2614531,1729050567,xxx
2614532,1729050696,xxx
2614533,1729050832,xxx
2614534,1729055731,xxx
2614535,1729055863,xxx
2614536,1729057316,xxx
2614537,1729063691,xxx
2614538,1729063809,xxx
2614539,1729063809,xxx
2614540,1729066764,xxx
2614541,1729067360,xxx
2614542,1729067466,xxx
2614543,1729067825,xxx
2614544,1729067829,xxx
2614545,1729067831,xxx
2614546,1729070760,xxx
2614547,1729071121,xxx
2614548,1729072048,xxx
2614549,1729072050,xxx
2614550,1729073125,xxx
2614551,1729074706,xxx
2614552,1729074706,xxx
2614553,1729078104,xxx
2614554,1729078104,xxx
2614555,1729078579,xxx
2614556,1729078581,xxx
2614557,1729080038,xxx
2614558,1729080038,xxx
2614559,1729080038,xxx
2614560,1729080038,xxx
2614561,1729080038,xxx
2614562,1729080268,xxx
2614563,1729080272,xxx
2614564,1729080386,xxx
2614565,1729082227,xxx
2614566,1729087473,xxx
2614567,1729088449,xxx
2614568,1729088900,xxx
2614569,1729088900,xxx
2614570,1729089392,xxx
2614571,1729089817,xxx
2614572,1729089817,xxx
2614573,1729089817,xxx
2614574,1729089817,xxx
2614575,1729089817,xxx
2614576,1729089817,xxx
2614577,1729090382,xxx
2614578,1729090444,xxx
2614579,1729090657,xxx
2614580,1729090657,xxx
2614581,1729092959,xxx
2614582,1729093276,xxx
2614583,1729094548,xxx
2614584,1729094548,xxx
2614585,1729094548,xxx
2614586,1729095954,xxx
2614587,1729095964,xxx
2614588,1729096388,xxx
2614589,1729096663,xxx
2614590,1729097094,xxx
2614591,1729097098,xxx
2614592,1729097098,xxx
2614593,1729097115,xxx
2614594,1729097115,xxx
2614595,1729097116,xxx
2614596,1729097116,xxx
2614597,1729097116,xxx
2614598,1729097280,xxx
2614599,1729097314,xxx
2614600,1729097314,xxx
2614601,1729097314,xxx
2614602,1729097314,xxx
2614603,1729097314,xxx
2614604,1729097314,xxx
2614605,1729097314,xxx
2614606,1729097314,xxx
2614607,1729097314,xxx
2614608,1729097314,xxx
2614609,1729097314,xxx
2614610,1729097681,xxx
2614611,1729097681,xxx
2614612,1729097681,xxx
2614613,1729097681,xxx
2614614,1729097681,xxx
2614615,1729097681,xxx
2614616,1729097681,xxx
2614617,1729097681,xxx
2614618,1729097681,xxx
2614619,1729097681,xxx
2614620,1729097681,xxx
2614621,1729097681,xxx
2614622,1729097681,xxx
2614623,1729097681,xxx
2614624,1729097681,xxx
2614625,1729097681,xxx
2614626,1729097681,xxx
2614627,1729097681,xxx
2614628,1729097681,xxx
2614629,1729097681,xxx
2614630,1729097681,xxx
2614631,1729097681,xxx
2614632,1729097681,xxx
2614633,1729097681,xxx
2614634,1729097681,xxx
2614635,1729097681,xxx
2614636,1729097681,xxx
2614637,1729097681,xxx
2614638,1729098679,xxx
2614639,1729102005,xxx
2614640,1729102435,xxx
2614641,1729102460,xxx
2614642,1729104323,xxx
2614643,1729104394,xxx
2614644,1729104895,xxx
2614645,1729104895,xxx
2614646,1729107621,xxx
2614647,1729107621,xxx
